image,P,R,F1,ms
15004,0.560113,0.955818,0.70632,1.04592
236017,0.385439,0.968398,0.551409,1.37725
310007,0.405273,0.931929,0.564889,0.772459
198023,0.207769,0.87242,0.335611,0.999791
22093,0.534041,0.961693,0.686731,0.815416
106025,0.40014,0.419181,0.409439,0.722667
202012,0.36611,0.997141,0.535578,1.38754
159045,0.506817,0.986785,0.669682,1.27175
376020,0.36787,0.890885,0.520721,1.13633
124084,0.748621,0.973737,0.846467,1.09587
254054,0.271287,0.968911,0.423889,1.23767
25098,0.685967,0.946654,0.795498,0.980833
8049,0.692881,0.868471,0.770802,0.938625
104022,0.507036,0.885188,0.644756,0.945792
238011,0.989861,0.997471,0.993652,0.64
285036,0.599847,0.860987,0.707076,0.83125
65132,0.344596,0.87799,0.494937,1.07296
326038,0.195042,0.987082,0.325723,1.36079
22090,0.787348,0.767264,0.777177,0.784875
159091,0.346861,0.918477,0.503555,1.15379
76002,0.495474,0.973353,0.656675,0.996875
227040,0.63505,0.850847,0.727279,0.934042
145053,0.537916,0.951184,0.687203,0.966625
374020,0.622189,0.890371,0.732505,0.958375
46076,0.593057,0.821335,0.688774,0.690125
100080,0.646196,0.30485,0.414266,0.896083
113016,0.406397,0.972519,0.573245,1.2045
134052,0.213302,0.667027,0.323239,1.20033
311068,0.216029,0.932382,0.350783,1.42246
239096,0.501045,0.727575,0.593426,0.905834
187071,0.528185,0.973065,0.684707,0.714208
16052,0.384614,0.938188,0.545569,1.058
94079,0.179757,0.960955,0.302861,1.25317
311081,0.220653,0.978852,0.360127,1.29958
118035,0.939195,0.835965,0.884578,10.2373
130034,0.177652,0.995466,0.301498,3.01433
138078,0.75841,0.949332,0.843199,0.87625
35070,0.784681,0.956463,0.862098,0.837375
35058,0.414558,0.654504,0.507603,1.051
260081,0.36096,0.906673,0.516353,1.22592
246053,0.606519,0.870121,0.714792,0.81275
26031,0.133656,0.939145,0.234009,1.14417
67079,0.682998,0.932201,0.788375,0.844375
164074,0.215572,0.896336,0.347556,1.13746
95006,0.277261,0.948432,0.429085,1.25162
27059,0.630632,0.954315,0.759421,1.2115
66039,0.305388,0.897414,0.455702,1.27858
112082,0.234739,0.912992,0.373459,1.25129
140075,0.505852,0.928096,0.654806,0.936958
106020,0.251075,0.955721,0.397678,1.00708
97017,0.678846,0.750789,0.713007,0.837333
302003,0.832414,0.885214,0.858002,1.03775
118020,0.59807,0.938439,0.730555,0.754834
365073,0.564743,0.989589,0.719104,1.12942
178054,0.15184,0.845566,0.257449,0.82575
216053,0.608265,0.928972,0.735164,0.857708
268002,0.41252,0.903708,0.566464,0.964542
368016,0.401965,0.96384,0.567328,1.08942
117054,0.473426,0.893838,0.618997,0.914042
277095,0.446919,0.987751,0.615396,0.893041
274007,0.53625,0.963034,0.688898,1.33787
385028,0.640243,0.870747,0.737913,0.780875
48055,0.454533,0.782885,0.575145,1.12967
286092,0.937439,0.486802,0.640829,0.670958
23025,0.552098,0.876958,0.677604,0.779083
24004,0.611739,0.89647,0.727228,0.942084
323016,0.644219,0.937947,0.763818,0.920458
271008,0.725324,0.863584,0.788439,0.743416
376001,0.59556,0.965624,0.736732,0.938084
187083,0.46751,0.935699,0.623497,0.997709
161062,0.733986,0.733537,0.733761,0.879417
188005,0.405777,0.92777,0.564611,0.836583
100098,0.567162,0.987982,0.720635,1.22004
135037,0.732805,0.864927,0.793403,0.826583
309004,0.258882,0.993667,0.41075,0.986709
169012,0.265605,0.829139,0.402328,1.05271
231015,0.561539,0.982129,0.714537,0.829292
166081,0.514634,0.910629,0.65762,1.10708
271031,0.628673,0.609101,0.618732,0.542208
216041,0.37372,0.768765,0.502944,1.16808
181018,0.494024,0.817399,0.615842,1.03788
163062,0.376059,0.925296,0.534775,1.02217
35091,0.438414,0.996701,0.608966,1.34158
198004,0.596733,0.759491,0.668346,0.821458
196015,0.492813,0.886923,0.633581,0.982209
172032,0.819096,0.673637,0.739279,0.663833
12003,0.469872,0.967017,0.632442,1.04133
147062,0.354875,0.972959,0.520063,1.2845
105053,0.554314,0.806191,0.656937,1.03287
43070,0.215181,1,0.354155,1.14371
65074,0.639252,0.839602,0.725856,0.921417
78019,0.596748,0.921039,0.724249,0.814875
140055,0.333047,0.971823,0.496085,1.16904
100075,0.392725,0.871302,0.541416,0.856334
113009,0.522279,0.973667,0.679871,1.11488
155060,0.424844,0.9589,0.588813,1.18333
60079,0.665176,0.397116,0.497325,0.678458
23084,0.421943,0.925962,0.579719,0.809708
249087,0.316149,0.952876,0.474776,1.05975
183087,0.371925,0.926177,0.530727,0.935167
45077,0.260307,0.91067,0.404882,1.07596
22013,0.648296,0.987567,0.78275,0.9155
209070,0.586498,0.821051,0.684231,0.840959
55067,0.959796,0.458583,0.620633,0.404583
245051,0.71024,0.934133,0.806944,0.745208
239007,0.86082,0.623632,0.723277,0.763583
176019,0.350613,0.96937,0.514967,1.12658
8143,0.522553,0.999401,0.686276,1.01017
103041,0.364926,0.895812,0.518593,1.32721
145014,0.601915,0.90798,0.723927,0.753917
113044,0.34655,0.934277,0.50557,1.31996
374067,0.329138,0.746864,0.456916,0.899417
41004,0.466366,0.913324,0.617448,0.847333
109034,0.183707,0.888224,0.304447,1.41029
35008,0.756736,0.530523,0.623753,0.763041
246016,0.599135,0.61006,0.604548,0.672834
135069,0.984671,0.999542,0.992051,0.319042
225017,0.283486,0.972958,0.439049,1.07521
361084,0.66114,0.963497,0.784183,1.12446
61060,0.226716,0.972092,0.36768,0.831625
253036,0.992154,0.740881,0.848301,0.526125
65010,0.505118,0.93115,0.654949,1.0195
105019,0.548169,0.938195,0.69201,0.783167
90076,0.565659,0.958921,0.711569,0.875042
42078,0.318239,0.954117,0.477283,0.988209
42044,0.428639,0.942796,0.589337,0.70075
156079,0.425121,0.918862,0.581298,1.11304
188063,0.390327,0.783627,0.521095,0.841625
126039,0.823199,0.478502,0.605212,0.721875
28075,0.454834,0.699855,0.551348,0.722583
55075,0.414722,0.985202,0.583724,1.03525
122048,0.429792,0.923636,0.586616,0.847375
163014,0.469945,0.866369,0.609356,0.886875
181091,0.312267,0.946191,0.469566,0.971958
170054,0.58485,0.884092,0.703991,0.833667
301007,0.532542,0.899719,0.669066,1.20325
12074,0.408562,0.838104,0.549333,1.06342
247085,0.494647,0.760495,0.599417,0.921208
293029,0.331195,0.90371,0.484741,1.10542
176035,0.616205,0.828362,0.706704,0.863709
80099,0.420002,0.676072,0.518125,0.928958
159029,0.361052,0.960374,0.524804,1.17908
24063,0.90991,0.586811,0.713487,0.398375
183055,0.834536,0.68551,0.752718,0.771292
2092,0.624534,0.798856,0.701021,0.646292
181079,0.474155,0.906563,0.622649,0.929542
92059,0.281185,0.925778,0.431355,0.712792
108073,0.378183,0.939507,0.539285,0.890125
153077,0.51896,0.850745,0.644669,0.899542
23080,0.76188,0.846815,0.802105,0.883125
365025,0.630477,0.653569,0.641815,0.907584
