image,P,R,F1,ms
12074,0.406393,0.843128,0.548436,1.05983
247085,0.498119,0.76582,0.60362,0.879667
293029,0.337527,0.904395,0.491589,1.01596
176035,0.622399,0.835206,0.713268,0.850666
80099,0.430752,0.703758,0.534407,0.870042
159029,0.36257,0.962538,0.52673,1.12471
24063,0.910486,0.58142,0.709662,0.398
183055,0.826725,0.671838,0.741277,0.747792
2092,0.632503,0.787613,0.701587,0.644625
181079,0.480339,0.905785,0.62777,0.904333
92059,0.273835,0.924612,0.422532,0.754416
108073,0.382105,0.947082,0.544521,1.00121
153077,0.515952,0.851249,0.642486,0.89325
23080,0.774683,0.845713,0.808641,0.896583
365025,0.639718,0.672282,0.655596,0.878625
